"method","bias","mae","rmse","spearman","accuracy","rules"
1,0.0352500702578832,0.0878439746982303,0.10961036638988,0.653827633769845,0.553333333333333,0
2,-0.0188894444052133,0.0747338988852535,0.101104478413417,0.758392240286146,0.775555555555556,0
3,-0.0187743238305045,0.078796457978699,0.116653312614869,0.868440071921059,0.866666666666667,15
4,-0.01831443890357,0.0823217983002707,0.122326645112376,0.632174045127456,0.771111111111111,10
1,-0.0238360028112624,0.114929017675588,0.140013131291929,0.448514282813169,0.631111111111111,0
2,-0.0381197175151345,0.0906379810763123,0.122462162285446,0.631598661541434,0.802222222222222,0
3,-0.0226326900230704,0.0946132664666101,0.135352217976438,0,0.728888888888889,0
4,-0.0226326900230704,0.0946132664666101,0.135352217976438,0,0.728888888888889,0
1,0.0257611754407937,0.106136217086334,0.132324792361144,0.621000849526685,0.582222222222222,0
2,0.0108104521055014,0.0898260648211161,0.111845336468136,0.508605729831729,0.357777777777778,0
3,0.00551836123429566,0.0931407067143766,0.11880253049995,0.55007867286813,0.255555555555556,13
4,0.00826196488810063,0.0964922634649011,0.121739503815382,0.324370628675646,0.255555555555556,14
1,-0.00607120830471076,0.0820978655890099,0.104092604807123,0.622873133775914,0.626666666666667,0
2,0.00218075981594303,0.0787023181783559,0.105146118706194,0.645373446228702,0.54,0
3,-0.00965658649711449,0.0782530768437596,0.120523537714369,0,0.791111111111111,0
4,-0.00965658649711449,0.0782530768437596,0.120523537714369,0,0.791111111111111,0
1,0.0136944692879326,0.0724000029490526,0.0877648038560285,0.773782293688413,0.611111111111111,0
2,-0.00647682130737261,0.0912139046154589,0.122320499722748,0.328282494906717,0.571111111111111,0
3,-0.00786553581295875,0.0892660671482171,0.125142901655581,0.490652486866017,0.511111111111111,14
4,-0.00768366653300872,0.0896832733133872,0.126026525442281,0.39172203775881,0.255555555555556,13
1,0.0456611288961486,0.0991480096652955,0.118987156090044,0.581171428253601,0.473333333333333,0
2,-0.00140031768345097,0.0909839281162578,0.11817345366992,0.625823517074177,0.522222222222222,0
3,-0.0183980508569717,0.0902412005553301,0.132331607716784,0,0.751111111111111,0
4,-0.0183980508569717,0.0902412005553301,0.132331607716784,0,0.751111111111111,0
1,0.00969520133100016,0.0775584167200067,0.0966097371169344,0.72024539844931,0.595555555555556,0
2,-0.0141907320942961,0.0895367396254341,0.12277416715085,0.370263519124753,0.455555555555556,0
3,-0.0143872405320853,0.0911680837622703,0.126629133362512,0.611654156508337,0.26,15
4,-0.0137804850643528,0.0926441271869499,0.12821116696072,0.399108706056512,0.26,15
1,0.0214986669782788,0.0877896696537522,0.109417778664536,0.610884381240133,0.553333333333333,0
2,-0.000886968505720436,0.0881572909248614,0.113652752790692,0.655733214498966,0.464444444444444,0
3,-0.0195107182237579,0.0880170657480605,0.127331536726167,0,0.733333333333333,0
4,-0.0195107182237579,0.0880170657480605,0.127331536726167,0,0.733333333333333,0
1,-0.015839608143952,0.0876235618178545,0.110853731719821,0.629909490911266,0.666666666666667,0
2,-0.030844474760516,0.0996223799012647,0.130673776250473,0.391734838857892,0.648888888888889,0
3,-0.0317775973235183,0.0989337534840365,0.13545791298755,0.546804016319851,0.777777777777778,15
4,-0.0305227647889737,0.0994984628190016,0.13664545656095,0.250498909645808,0.66,14
1,0.0710359608617094,0.104607611715771,0.129341105656659,0.584457960830057,0.457777777777778,0
2,0.0215445597649937,0.0981218926332264,0.119067413183323,0.506518432868855,0.273333333333333,0
3,-0.0174712146233216,0.0842582167032068,0.126500006106372,0,0.757777777777778,0
4,-0.0174712146233216,0.0842582167032068,0.126500006106372,0,0.757777777777778,0
1,-0.0493642839361993,0.110107261678347,0.135686599999802,0.52412513788135,0.673333333333333,0
2,-0.035157027718083,0.0885115287863324,0.121127838555861,0.48207980051421,0.735555555555556,0
3,-0.0382487727124492,0.0920931749868591,0.128930297371037,0.566404661608883,0.751111111111111,15
4,-0.0338957149737033,0.0912420134999768,0.129957936541654,0.548902105031423,0.751111111111111,15
1,-0.00165884552634471,0.0759765763939953,0.0962572408247304,0.728363436492146,0.657777777777778,0
2,-0.0135796583250567,0.0849915403503246,0.114055780446446,0.588753742240567,0.686666666666667,0
3,-0.0141921272507838,0.0871580467725837,0.125915773498087,0,0.748888888888889,0
4,-0.0141921272507838,0.0871580467725837,0.125915773498087,0,0.748888888888889,0
1,0.0328589334083729,0.0924636841171361,0.114779902201924,0.635774504257887,0.58,0
2,-0.0132364237642222,0.0830237963503085,0.115519251710808,0.558290431414221,0.537777777777778,0
3,-0.0161966618373408,0.0841893117924701,0.123191074466858,0.792653222677022,0.342222222222222,15
4,-0.0146641511910937,0.0872371863129199,0.126094040750654,0.607121298815494,0.246666666666667,13
1,0.0288188874051777,0.112859908270436,0.133041391732446,0.260310393841166,0.464444444444444,0
2,-0.00894516142374304,0.0982975986596506,0.128457028924066,0.324580529041642,0.482222222222222,0
3,-0.0190800354347198,0.0947443251588866,0.133155952985569,0,0.728888888888889,0
4,-0.0190800354347198,0.0947443251588866,0.133155952985569,0,0.728888888888889,0
1,0.00787855989482344,0.0898938709962922,0.111194479746435,0.608768504983751,0.6,0
2,-0.00643671625843413,0.0817561597334787,0.110463565572032,0.613081129504117,0.602222222222222,0
3,-0.00485221971823655,0.0846413112639547,0.117559242830157,0.775211695858805,0.308888888888889,14
4,-0.00601313581320834,0.0856782764152727,0.120047055454967,0.551677034466944,0.244444444444444,14
1,0.0295967605454222,0.0956632340156861,0.115842551587686,0.616017858716736,0.562222222222222,0
2,0.00406748921801034,0.0883632462129925,0.114924794964474,0.537395612895874,0.546666666666667,0
3,-0.00410861602213964,0.0877231400244926,0.126088123243026,0,0.782222222222222,0
4,-0.00410861602213964,0.0877231400244926,0.126088123243026,0,0.782222222222222,0
1,0.00516734975329054,0.0893177940991059,0.108809305568054,0.644187270344608,0.637777777777778,0
2,-0.0175665560693631,0.0823044530115433,0.113272676789209,0.657262068303887,0.755555555555556,0
3,-0.0167421196564801,0.0870198083811927,0.124922334102121,0.773367039044236,0.942222222222222,15
4,-0.0183907711095899,0.0891864616816596,0.128647557587466,0.613496451670145,0.791111111111111,13
1,0.0264480431243033,0.105943042939846,0.127711850961485,0.460057871390616,0.54,0
2,-0.00726878463653095,0.0928488095909277,0.123518026415213,0.593087831795694,0.528888888888889,0
3,-0.0185953916472984,0.0937749683636798,0.135113144434497,0,0.746666666666667,0
4,-0.0185953916472984,0.0937749683636798,0.135113144434497,0,0.746666666666667,0
